"id","hadith_no","source","tradition","bab","text_ar"
"zayd_0011","11","Musnad al-Imam Zayd ibn Ali","Zaydi","باب الغسل الواجب والسنة:","= حدثني زيد بن علي عليه السلام عن أبيه عن جده عن علي بن أبي طالب عليه السلام عن النبي صلى الله عليه وآله في الحائض والجنب يعرقان في الثوب قال الحيض والجنابة حيث جعلهما الله تعالى فلا يغسلا ثيابهما."
"zayd_0012","12","Musnad al-Imam Zayd ibn Ali","Zaydi","باب الغسل الواجب والسنة:","حدثني زيد بن علي عليه السلام عن أبيه عن جده عن علي بن أبي طالب عليهم السلام ان النبي صلى الله عليه وآله صافح حذيفة ابن اليمان فقال يا رسول الله اني جنب فقال له النبي صلى الله عليه وآله وسلم ان المسلم ليس بنجس ."
"zayd_0013","13","Musnad al-Imam Zayd ibn Ali","Zaydi","باب في الرعاف والنوم والحجامة:","وقال زيد بن علي عليه السلام في الحجامة انها تنقض الوضوء وتغسل مواضعها وان تغتسل فهو افضل."
"zayd_0014","14","Musnad al-Imam Zayd ibn Ali","Zaydi","باب في الرعاف والنوم والحجامة:","= حدثني زيد بن علي عليه السلام عن أبيه عن جده عن علي بن أبي طالب عليه السلام. قال خرجت مع النبي صلى الله عليه وآله وقد تطهر للصلاة فأمس ابهامه انفه فإذا دم فأعادها مرة فلم ير شيئا فأهوى بها إلى الارض فمسحه ولم يحدث وضوءا ومضى إلى الصلاة قال وسألت زيدا عليه السلام عن الذي لا يرقأ رعافه قال يتوضأ لكل صلاة ويصلي وان سال ويكون ذلك في آخر الوقت وسألت زيدا بن علي عليه السلام عن الرجل ينام في الصلاة وهو راكع أو ساجد أو جالس فقال لا ينقض الوضوء."
"zayd_0015","15","Musnad al-Imam Zayd ibn Ali","Zaydi","باب مقدار ما يتوضأ به للصلاة وما يكفي الغسل:","حدثني زيد بن علي عن أبيه عن جده عن علي عليه السلام قال كنا نؤمر في الغسل للجنابة للرجل بصاع وللمرأة بصاع ونصف قال زيد (ع م) كنا نوقت الوضوء للصلاة مدا والمد رطلان. قال أبو خالد:"
"zayd_0016","16","Musnad al-Imam Zayd ibn Ali","Zaydi","باب مقدار ما يتوضأ به للصلاة وما يكفي الغسل:","حدثني زيد بن علي ابيه عن جهد عن علي (ع م) ان النبي صلى الله عليه وآله سئل هل يطعم الجنب قبل ان يغتسل قال لا حتى يغتسل أو يتوضأ للصلاة."
"zayd_0017","17","Musnad al-Imam Zayd ibn Ali","Zaydi","باب مقدار ما يتوضأ به للصلاة وما يكفي الغسل:","قال أبو خالد: قال زيد بن علي (ع م) لا بأس ان يجامع ثم يعاود قبل ان يتوضأ وسألت زيدا بن علي (ع م) عن ماء المطر اخوضه قال لا بأس به الارض يطهر بعضها بعضا"
"zayd_0018","18","Musnad al-Imam Zayd ibn Ali","Zaydi","باب مقدار ما يتوضأ به للصلاة وما يكفي الغسل:","حدثني زيد بن علي عن أبيه عن جده عن علي (ع م) قال: قال رسول الله صلى الله عليه وآله لا تستنجي المرأة بشئ سوى الماء الا ان لا تجد الماء."
"zayd_0019","19","Musnad al-Imam Zayd ibn Ali","Zaydi","باب مقدار ما يتوضأ به للصلاة وما يكفي الغسل:","حدثني زيد بن علي عن أبيه عن جده عن علي (ع م) قال عذاب القبر من ثلاثة: من البول والدين والنميمة."
"zayd_0020","20","Musnad al-Imam Zayd ibn Ali","Zaydi","باب السواك وفضل الوضوء:","= حدثني زيد بن علي عن أبيه عن جده عن علي (ع م) قال: قال رسول الله صلى الله عليه وآله لولا اني اخاف ان اشق على امتي لفرضت عليهم السواك مع الطهور فلا تدعه يا علي ومن اطاق السواك مع الوضوء فلا يدعه."
"zayd_0021","21","Musnad al-Imam Zayd ibn Ali","Zaydi","باب السواك وفضل الوضوء:","حدثني زيد بن علي عن أبيه عن جده عن علي (ع م) قال: قال رسول الله صلى الله عليه وآله "" ما من امرئ مسلم قام في جوف الليل إلى سواكه فاستن به ثم تطهر للصلاة وأسبغ الوضوء ثم قام إلى بيت من بيوت الله عزوجل الا اتاه ملك فوضع فاه على فيه فلا يخرج من جوفه شئ الا دخل في جوف الملك حتى يجئ به يوم القيامة شهيدا شفيعا."
"zayd_0022","22","Musnad al-Imam Zayd ibn Ali","Zaydi","باب السواك وفضل الوضوء:","حدثني زيد بن علي عن أبيه عن جده عن علي عليهم السلام قال: = قال رسول الله صلى الله عليه وآله لا تقبل صلاة الا بزكاة ولا تقبل صلاة الا بقرآن ولا تقبل صلاة الا بطهور ولا تقبل صدقة من غلول. حدثني أبو خالد قال:"
"zayd_0023","23","Musnad al-Imam Zayd ibn Ali","Zaydi","باب السواك وفضل الوضوء:","حدثني زيد بن علي عن أبيه عن جده عن علي عليهم السلام قال: قال رسول الله صلى الله عليه وسلم أعطيت ثلاثا لم يعطهن نبي قبلي جعلت لي الارض مسجدا وطهورا. قال الله عزوجل فان لم تجدوا ماء فتيمموا صعيدا طيبا وأحل لي المغنم ولم يحل لاحد قبلي قوله تعالى واعلموا انما غنمتم من شئ فان لله خمسه وللرسول ولذي القربى الآية ونصرت بالرعب على مسيرة شهر وفضلت على الانبياء عليهم السلام يوم القيامة بثلاث تأتي امتي يوم القيامة غرا محجلين من آثار الوضوء معروفين من بين الامم ويأتي المؤذنون يوم القيامة أطول الناس اعناقا ينادون بشهادة أن لا اله الا الله وأن محمدا عبده ورسوله والثالثة ليس من نبي الا وهو يحاسب يوم القيامة بذنب غيري لقوله تعالى ليغفر لك الله ما تقدم من ذنبك وما تأخر."
"zayd_0024","24","Musnad al-Imam Zayd ibn Ali","Zaydi","باب السواك وفضل الوضوء:","حدثني زيد بن علي عليه السلام عن أبيه عن جده عليهم السلام عن علي عليه السلام انه إذا دخل المخرج قال بسم الله اللهم اني اعوذ بك من الرجس النجس الخبيث * المخبث الشيطان الرجيم فإذا خرج من المخرج قال الحمد لله الذي عافاني في جسدي الحمد لله الذي اماط عني الاذى."
"zayd_0025","25","Musnad al-Imam Zayd ibn Ali","Zaydi","باب السواك وفضل الوضوء:","حدثني زيد بن علي عليه السلام عن أبيه عن جده عن علي عليه السلام قال: قال رسول الله صلى الله عليه وآله ما من مسلم يتوضأ ثم يقول عند فراغه من وضوئه سبحانك اللهم وبحمدك أشهد ان لا اله الا انت استغفرك وأتوب اليك اللهم اجعلني من التوابين واجعلني من المتطهرين واغفر لي انك على كل شئ قدير الا كتبت في رق ثم ختم عليها ثم وضعت تحت العرش حتى تدفع إليه بخاتمها يوم القيامة."
"zayd_0026","26","Musnad al-Imam Zayd ibn Ali","Zaydi","مسائل في الوضوء:","Vسألت زيدا بن علي عليه السلام عن الوضوء مرة مرة فقال جائز والثلاث أفضل."
"zayd_0027","27","Musnad al-Imam Zayd ibn Ali","Zaydi","مسائل في الوضوء:","حدثني زيد بن علي بن ابيه عن جده عن علي عليهم السلام انه توضأ ومسح نعليه وقال هذا وضوء من لم يحدث وسألت زيدا بن علي عليه السلام عن الوضوء من سؤر المشرك فقال يتوضأ بسؤر شربه ولا يتوضأ بسؤر وضوئه الا ان يعلم انه شرب خمرا أو أكل لحم خنزير فلا يتوضأ بسؤر شربه ولا وضوئه. وسألت زيدا بن علي عليه السلام عن النميمة والغيبة تنقض الوضوء فقال لا وقال زيد بن علي عليهما السلام في الاناء يموت فيه الخنفساء والصياح والشقاق فقال لا يضرك. سألت زيدا عن الرجل يتوضأ مرتين مرتين فقال يجزئه قلت فان توضأ مرة مرة قال يجزئه. وسألت زيدا عليه السلام عن الرجل يتوضأ ثم يقص اظافره قال يمر الماء على أظافره."
"zayd_0028","28","Musnad al-Imam Zayd ibn Ali","Zaydi","باب المسح على الخفين (1) والجبائر:","= حدثني زيد بن علي عن أبيه عن جده عن علي عليهم السلام ان رسول الله صلى الله عليه وسلم مسح قبل نزول المائدة فلما نزلت آية المائدة لم يمسح بعدها."
"zayd_0029","29","Musnad al-Imam Zayd ibn Ali","Zaydi","باب المسح على الخفين (1) والجبائر:","= حدثني زيد بن علي عن أبيه عن جده الحسين بن علي عليهما السلام قال انا ولد فاطمة عليها السلام لا نمسح على الخفين ولا عمامة ولا كمة ولا خمار ولا جهاز."
"zayd_0030","30","Musnad al-Imam Zayd ibn Ali","Zaydi","باب المسح على الخفين (1) والجبائر:","حدثني زيد بن علي عن أبيه عن جده عن علي عليهم السلام قال كسرت احدى زندي مع رسول الله صلى الله عليه وآله فأمر رسول الله صلى الله عليه وآله فجبر فقلت يا رسول الله كيف اصنع بالوضوء قال امسح على الجبائر قلت والجنابة قال كذلك فافعل. حدثني زيد عن آبائه عليهم السلام عن علي (ع م) في الرجل تكون به القروح والجدري والجراحات قال اصبب عليه الماء صبا."
"zayd_0031","31","Musnad al-Imam Zayd ibn Ali","Zaydi","باب المسح على الخفين (1) والجبائر:","حدثني زيد بن علي عليه السلام عن آبائه عن علي عليهم السلام قال إذا كانت بالرجل قروح فاحشة لا يستطيع ان يغتسل معها فليتوضأ وضوءه للصلاة وليصب عليه الماء صبا."
"zayd_0032","32","Musnad al-Imam Zayd ibn Ali","Zaydi","باب المسح على الخفين (1) والجبائر:","حدثني زيد بن علي عليه السلام عن أبيه عن جده عن علي عليهم السلام انه اتاه رجل فقال ان اخي أو ابن اخي به جدري وقد أصابته جنابة فكيف نصنع به فقال يمموه. سألت زيدا عليه السلام عن المسافر يخاف على نفسه من الثلج هل يجوز له ان يمسح على خفيه قال نعم، هذا عذر مثل المسح على الجبائر فان استطاع الغسل لم يجزه المسح. وسألت زيدا عليه السلام عن الرجل تكون به الدماميل تسيل لا ينقطع قال يتوضأ لكل صلاة."
"zayd_0033","33","Musnad al-Imam Zayd ibn Ali","Zaydi","باب المسح على الخفين (1) والجبائر:","حدثني زيد بن علي عن أبيه عن جده عن علي عليهم السلام انه كان يقول سبق الكتاب الخفين."
"zayd_0034","34","Musnad al-Imam Zayd ibn Ali","Zaydi","باب ما يفسد الماء:","سألت زيدا عليهم السلام عن البئر تقع فيها القنبرة أو العضاوة أو العصفور، قال ان كان الماء لم يتغير نزح منه اربعون صاعا وان كان الماء قد تغير نزح الماء حتى يطيب، قلت فان وقعت فيه دجاجة أو حمامة أو سنور فماتت ولم يتغير الماء، قال ينزح منها مائة صاع من ماء، قلت فان تغير الماء، قال ينزح حتى يطيب. قال زيد بن علي عليهما السلام في البئر يقطر فيها البول أو الدم أو الخمر، قال ينزح ماؤها كله. قال زيد بن علي عليهما السلام في الغدير الكبير والبركة الواسعة ان ماءها لا ينجسه شئ، وقال في الماء الجاري لا ينجسه شئ."
"zayd_0035","35","Musnad al-Imam Zayd ibn Ali","Zaydi","باب التيمم:","حدثني زيد بن علي عن أبيه عن جده عن علي بن أبي طالب عليهم السلام، قال إذا كنت في سفر ومعك ماء وأنت تخاف العطش فتيمم واستبق الماء لنفسك ."
"zayd_0036","36","Musnad al-Imam Zayd ibn Ali","Zaydi","باب التيمم:","حدثني زيد بن علي عن أبيه عن جده عليهم السلام عن علي بن أبي طالب كرم الله وجهه، قال التيمم ضربتان ضربة للوجه وضربة للذراعين إلى المرفقين."
"zayd_0037","37","Musnad al-Imam Zayd ibn Ali","Zaydi","باب التيمم:","حدثني زيد بن علي عن أبيه عن جده عليهم السلام عن علي بن أبي طالب كرم الله وجهه، في الجنب لا يجد الماء، قال يتيمم ويصلي فإذا وجد الماء اغتسل ولم يعد الصلاة، قال: وقال زيد بن علي عليهما السلام يتيمم لكل صلاة ويصلي بكل تيمم صلاته تلك ونافلتها."
"zayd_0038","38","Musnad al-Imam Zayd ibn Ali","Zaydi","باب التيمم:","حدثني زيد بن علي عن أبيه عن جده عن علي بن أبي طالب كرم الله وجهه، قال لا يؤم المتيمم المتوضيين ولا المقيد المطلقين، قال زيد ابن علي (ع م) وكل شئ تيممت به من الارض يجزئك، وقال زيد بن علي (ع م) في المتيمم يجد الماء في الصلاة، قال يستقبل الصلاة. سألت زيدا بن علي (ع م) في رجل يكون في السفر في ردغة من طين ولم يجد الماء، قال يتيمم من غبار سرجه أو برذعة حماره أو غبار ثوبه والرجل والمرأة في التيمم سواء. سألت زيدا بن علي عليه السلام عن المرأة الحائض تطهر في السفر، قال تيمم فإذا وجدت الماء اغتسلت ولم تعد شيئا من صلاتها، وقال زيد ابن علي عليه السلام ولا بأس ان يجامع وهو في السفر فيتيمم."
"zayd_0039","39","Musnad al-Imam Zayd ibn Ali","Zaydi","باب الحيض والاستحاضة والنفاس:","حدثني زيد بن علي عن أبيه عن جده (ع م) عن علي بن أبي طالب ] كرم الله وجهه قال أتت امرأة رسول الله صلى الله عليه وسلم فزعمت انها تستفرغ الدم، فقال رسول الله صلى الله عليه وآله لعن الله الشيطان هذه ركضة من الشيطان في رحمك فلا تدعي الصلاة لها، قالت فكيف اصنع يا رسول الله، قال صلى الله عليه وآله اقعدي ايامك التي كنت تحيضين فيهن كل شهر فلا تصلين فيهن ولا تصومين ولا تدخلي مسجدا ولا تقرئي قرآنا وإذا مرت ايامك التي كنت تجلسين، تحيضين فيهن واجعلي ذلك أقصى أيامك التي كنت تحيضين فيهن فاغتسلي للفجر ثم استدخلي الكرسف واستثفري استثفار الرجل ثم صلي الفجر ثم اخرى الظهر لآخر وقت واغتسلي واستدخلي الكرسف واستثفري استثفار الرجل ثم صلي الظهر وقد دخل اول وقت العصر وصلي العصر ثم اخرى المغرب لآخر وقت ثم اغتسلي واستدخلي الكرسف واستثفري استثفار الرجل ثم صلي المغرب وقد دخل أول وقت العشاء ثم صلي العشاء، قال فولت وهي تبكي وتقول يا رسول الله لا أطيق ذلك، قال فرق لها رسول الله صلى الله عليه وآله، وقال اغتسلي لكل طهركما كنت تفعلين واجعليه، بمنزلة الجرح في جسدك كلما حدث دم احدثت طهورا ولا تتركي الكرسف والاستثفار فان طال ذلك بها فلتدخلي المسجد ولتقرئي القرآن ولتصلي الصلاة ولتقضي المناسك."
"zayd_0040","40","Musnad al-Imam Zayd ibn Ali","Zaydi","باب الحيض والاستحاضة والنفاس:","= حدثني زيد بن علي عن أبيه عن جده عن علي (ع م) قال: يقرأ الجنب والحائض الآية والآيتين ويمسان الدرهم الذي فيه اسم الله تعالى ويتناولان الشئ من المسجد. قال: سمعت زيدا بن علي عليهما السلام، يقول: اقل الحيض ثلاثة ايام وأكثره عشرة ايام."
"zayd_0041","41","Musnad al-Imam Zayd ibn Ali","Zaydi","باب الحيض والاستحاضة والنفاس:","= حدثني زيد بن علي عن ابيه (ع م) قال: كن نساؤنا الحيض يتوضأن لكل صلاة ويستقبلن القبلة ويسبحن ويكبرن نأمرهن بذلك."
"zayd_0042","42","Musnad al-Imam Zayd ibn Ali","Zaydi","باب الحيض والاستحاضة والنفاس:","= حدثني زيد بن علي عن أبيه عن جده عن علي بن أبي طالب كرم الله وجهه، ان الحائض تقضي الصوم ولا تقضي الصلاة. ] قوله: فإن طال ذلك بها من كلام الإمام زيد، أراد ان يبين حكم المستحاضة وهو دخولها المسجد وإن تعمل كلما منعت الحائض منه اه ج. وفي أمالي احمد بن عيسى عن أبي أمامة عن النبي صلى الله عليه وسلم وآله انه قال: أقل ما يكون الحيض للجارية البكر والثيب ثلاثا، واكثر ما يكون الحيض عشرة أيام فإذا زاد الدم أكثر من عشرة ايام فهي مستحاضة."
"zayd_0043","43","Musnad al-Imam Zayd ibn Ali","Zaydi","باب الحيض والاستحاضة والنفاس:","حدثني زيد بن علي عن أبيه عن جده عن علي بن أبي طالب عليهم السلام، قال: إذا طهرت الحائض قبل المغرب قضت الظهر والعصر وإذا طهرت قبل الفجر قضت المغرب والعشاء."
"zayd_0044","44","Musnad al-Imam Zayd ibn Ali","Zaydi","باب الحيض والاستحاضة والنفاس:","= حدثني زيد بن علي عن أبيه عن جده (ع م) عن علي بن أبي طالب كرم الله وجهه، قال: لما كان في ولاية عمر قدم عليه نفر من أهل الكوفة قالوا جئناك نسألك عن اشياء، نسألك عن الغسل من الجنابة وما يحل للرجل من امرأته إذا كانت حائضا، فقال: باذن جئتم أم بغير اذن قالوا: لا بل باذن، قال: لو غير ذلك قلتم لنكلتكم عقوبة ويحكم اسحرة انتم، لقد سألتموني عن اشياء ما سألني عنهن احد منذ سألت رسول الله صلى الله عليه وآله عنهن، ألست كنت شاهدا يا أبا الحسن، قال قلت بلى، فأد ما أجابني به رسول الله صلى الله عليه وآله فانك"
"zayd_0045","45","Musnad al-Imam Zayd ibn Ali","Zaydi","باب الحيض والاستحاضة والنفاس:","أحفظ لذلك مني، فقلت سألته عن الغسل من الجنابة، فقال صلى الله عليه وآله وسلم تصب الماء على يديك قبل أن تدخلهما في انائك ثم تضرب بيدك إلى مرافقك فتنقى ماثم، ثم تضرب بيديك إلى الارض ثم تصب عليها من الماء ثم تمضمض وتستنشق وتستنثر ثلاثا ثم تغسل وجهك وذراعيك ثلاثا ثلاثا وتمسح برأسك وتغسل قدميك ثم تفيض الماء على رأسك ثلاثا وتفيض الماء على جانبيك وتدلك من جسدك ما نالت يداك، وسألته مالك من امرأتك إذا كانت حائضا، قال صلى الله عليه وآله وسلم ما فوق الازار ولا تطلع على ما تحته. سألت زيدا بن علي عليه السلام عن النفاس قال ثلاثة قروء ان كانت تجلس ستا فثماني عشرة وان كانت تجلس سبعا فأحد وعشرون وان كانت تجلس عشرا فثلاثون يوما. قال زيد بن علي عليه السلام ولا يكون النفاس أكثر من اربعين يوما، قال سألت زيدا بن علي (ع م) [ عن غسل الحائض والنفساء، قال (ع م) مثل غسل الجنابة، قلت هل تنقض شعر رأسها قال (ع م) لا، سألت أم سلمة رضي الله عنها النبي صلى الله عليه وآله عن ذلك فقال صلى الله عليه وآله يكفيك ثلاث غسلات، قال زيد بن علي (ع م) في الصفرة والحمرة انها حيض، وقال زيد بن علي (ع م) لا يكون حيض على حمل ، وقال زيد بن علي (ع م) لا يحل وطأ الحائض حتى تغتسل لقوله تعالى فاعتزلوا النساء في المحيض ولا تقربوهن حتى يطهرن فإذا تطهرن فاتوهن من حيث أمركم الله، قال (ع م) من قبل القبل، قال الإمام الشهيد أبو الحسين زيد بن علي عليه السلام في الحائض تزيد أيامها ان ذلك حيض ما كان ذلك في العشر."
"zayd_0046","46","Musnad al-Imam Zayd ibn Ali","Zaydi","","حدثني علي بن محمد بن الحسن، قال: حدثني سليمان بن إبراهيم بن عبيد، قال: حدثني نصر بن مزاحم المنقري، قال: حدثني إبراهيم بن الزبرقان التيمي، قال: حدثني أبو خالد عمرو بن خالد الواسطي، قال:"
"zayd_0047","47","Musnad al-Imam Zayd ibn Ali","Zaydi","","حدثني زيد بن علي عن أبيه عن جده عليه السلام عن علي بن أبي طالب كرم الله وجهه، قال: الاذان مثنى مثنى والاقامة مثنى مثنى ويرتل في الاذان ويحدر في الاقامة."
"zayd_0048","48","Musnad al-Imam Zayd ibn Ali","Zaydi","","= حدثني زيد بن علي (ع م) عن أبيه علي بن الحسين عليهم السلام انه كان يقول في اذانه حي على خير العمل حي على خير العمل ، قال زيد ابن علي عليه السلام من أذن قبل الفجر فقد أحل ما حرم الله وحرم ما أحل الله ، وقال زيد بن علي (ع م) لا بأس أن يؤذن الرجل على غير وضوء وأكره للجنب أن يؤذن، قال عليه السلام ولا يقيم الا وهو طاهر ."
"zayd_0049","49","Musnad al-Imam Zayd ibn Ali","Zaydi","","حدثني زيد بن علي عن أبيه عن جده (ع م) عن علي بن أبي طالب كرم الله وجهه، قال: ثلاث لا يدعهن الا عاجز، رجل سمع مؤذنا ولا يقول كما يقول، ورجل لقي جنازة ولا يسلم على أهلها ويأخذ بجوانب السرير فانه إذا فعل ذلك كان له أجران، ورجل أدرك الإمام وهو ساجد لم يكبر ثم يسجد معهم ولا يعتد بها."
"zayd_0050","50","Musnad al-Imam Zayd ibn Ali","Zaydi","","حدثني زيد بن علي عن أبيه عن جده عن علي بن أبي طالب (ع م) قال: ليس على النساء أذان ولا اقامة."
